,bin,f3_mask,entropy,sha256,pwm_55_hits,stub_hits,mask_hits,a955,a9,8d,4c,55,3f,43
0,pl+-08-25-25-PL62-0H6M.bin,N/A,N/A,N/A,0,0,1,0,0,0,0,1,0,0
1,pl-1001-1050.bin,N/A,N/A,N/A,0,17,4,0,0,1,3,4,23,4
2,pl+-08-25-25-PL62-957PM.bin,N/A,N/A,N/A,0,14,1,0,1,0,3,0,12,2
3,pl-08-23-2025-3343-3392.bin,N/A,N/A,N/A,0,3,5,0,0,0,0,4,0,0
4,pl+-08-25-25-4H23M-0001-0060.bin,N/A,N/A,N/A,0,19,11,0,0,1,4,1,30,1
5,pl+-09-25-2025-24H8M-0001-0060.bin,N/A,N/A,N/A,0,18,4,0,0,1,3,4,23,4
6,pl+-6D1597C1-6070-4EF7-AA.bin,N/A,N/A,N/A,0,0,1,0,0,0,0,1,0,0
7,pl-09-20-24-1547-1596.bin,N/A,N/A,N/A,0,3,1,0,0,0,1,3,1,0
8,pl-2532-2581.bin,N/A,N/A,N/A,0,9,3,0,1,0,4,0,5,0
