[0x00000000]> /x 00~ff
Do you want to print 3300 lines? (y/N) y
0x00106ff0 hit0_28670 00
0x00106ff1 hit0_28671 00
0x00106ff2 hit0_28672 00
0x00106ff3 hit0_28673 00
0x00106ff4 hit0_28674 00
0x00106ff5 hit0_28675 00
0x00106ff6 hit0_28676 00
0x00106ff7 hit0_28677 00
0x00106ff8 hit0_28678 00
0x00106ff9 hit0_28679 00
0x00106ffa hit0_28680 00
0x00106ffb hit0_28681 00
0x00106ffc hit0_28682 00
0x00106ffd hit0_28683 00
0x00106ffe hit0_28684 00
0x00106fff hit0_28685 00
0x001070ff hit0_28941 00
0x001071ff hit0_29197 00
0x001072ff hit0_29453 00
0x001073ff hit0_29709 00
0x001074ff hit0_29965 00
0x001075ff hit0_30221 00
0x001076ff hit0_30477 00
0x001077ff hit0_30733 00
0x001078ff hit0_30989 00
0x001079ff hit0_31245 00
0x00107aff hit0_31501 00
0x00107bff hit0_31757 00
0x00107cff hit0_32013 00
0x00107dff hit0_32269 00
0x00107eff hit0_32525 00
0x00107ff0 hit0_32766 00
0x00107ff1 hit0_32767 00
0x00107ff2 hit0_32768 00
0x00107ff3 hit0_32769 00
0x00107ff4 hit0_32770 00
0x00107ff5 hit0_32771 00
0x00107ff6 hit0_32772 00
0x00107ff7 hit0_32773 00
0x00107ff8 hit0_32774 00
0x00107ff9 hit0_32775 00
0x00107ffa hit0_32776 00
0x00107ffb hit0_32777 00
0x00107ffc hit0_32778 00
0x00107ffd hit0_32779 00
0x00107ffe hit0_32780 00
0x00107fff hit0_32781 00
0x001080ff hit0_33037 00
0x001081ff hit0_33293 00
0x001082ff hit0_33549 00
0x001083ff hit0_33805 00
0x001084ff hit0_34061 00
0x001085ff hit0_34317 00
0x001086ff hit0_34573 00
0x001087ff hit0_34829 00
0x001088ff hit0_35085 00
0x001089ff hit0_35341 00
0x00108aff hit0_35597 00
0x00108bff hit0_35853 00
0x00108cff hit0_36109 00
0x00108dff hit0_36365 00
0x00108eff hit0_36621 00
0x00108ff0 hit0_36862 00
0x00108ff1 hit0_36863 00
0x00108ff2 hit0_36864 00
0x00108ff3 hit0_36865 00
0x00108ff4 hit0_36866 00
0x00108ff5 hit0_36867 00
0x00108ff6 hit0_36868 00
0x00108ff7 hit0_36869 00
0x00108ff8 hit0_36870 00
0x00108ff9 hit0_36871 00
0x00108ffa hit0_36872 00
0x00108ffb hit0_36873 00
0x00108ffc hit0_36874 00
0x00108ffd hit0_36875 00
0x00108ffe hit0_36876 00
0x00108fff hit0_36877 00
0x001090ff hit0_37133 00
0x001091ff hit0_37389 00
0x001092ff hit0_37645 00
0x001093ff hit0_37901 00
0x001094ff hit0_38157 00
0x001095ff hit0_38413 00
0x001096ff hit0_38669 00
0x001097ff hit0_38925 00
0x001098ff hit0_39181 00
0x001099ff hit0_39437 00
0x00109aff hit0_39693 00
0x00109bff hit0_39949 00
0x00109cff hit0_40205 00
0x00109dff hit0_40461 00
0x00109eff hit0_40717 00
0x00109ff0 hit0_40958 00
0x00109ff1 hit0_40959 00
0x00109ff2 hit0_40960 00
0x00109ff3 hit0_40961 00
0x00109ff4 hit0_40962 00
0x00109ff5 hit0_40963 00
0x00109ff6 hit0_40964 00
0x00109ff7 hit0_40965 00
0x00109ff8 hit0_40966 00
0x00109ff9 hit0_40967 00
0x00109ffa hit0_40968 00
0x00109ffb hit0_40969 00
0x00109ffc hit0_40970 00
0x00109ffd hit0_40971 00
0x00109ffe hit0_40972 00
0x00109fff hit0_40973 00
0x0010a0ff hit0_41229 00
0x0010a1ff hit0_41485 00
0x0010a2ff hit0_41741 00
0x0010a3ff hit0_41997 00
0x0010a4ff hit0_42253 00
0x0010a5ff hit0_42509 00
0x0010a6ff hit0_42765 00
0x0010a7ff hit0_43021 00
0x0010a8ff hit0_43277 00
0x0010a9ff hit0_43533 00
0x0010aaff hit0_43789 00
0x0010abff hit0_44045 00
0x0010acff hit0_44301 00
0x0010adff hit0_44557 00
0x0010aeff hit0_44813 00
0x0010aff0 hit0_45054 00
0x0010aff1 hit0_45055 00
0x0010aff2 hit0_45056 00
0x0010aff3 hit0_45057 00
0x0010aff4 hit0_45058 00
0x0010aff5 hit0_45059 00
0x0010aff6 hit0_45060 00
0x0010aff7 hit0_45061 00
0x0010aff8 hit0_45062 00
0x0010aff9 hit0_45063 00
0x0010affa hit0_45064 00
0x0010affb hit0_45065 00
0x0010affc hit0_45066 00
0x0010affd hit0_45067 00
0x0010affe hit0_45068 00
0x0010afff hit0_45069 00
0x0010b0ff hit0_45325 00
0x0010b1ff hit0_45581 00
0x0010b2ff hit0_45837 00
0x0010b3ff hit0_46093 00
0x0010b4ff hit0_46349 00
0x0010b5ff hit0_46605 00
0x0010b6ff hit0_46861 00
0x0010b7ff hit0_47117 00
0x0010b8ff hit0_47373 00
0x0010b9ff hit0_47629 00
0x0010baff hit0_47885 00
0x0010bbff hit0_48141 00
0x0010bcff hit0_48397 00
0x0010bdff hit0_48653 00
0x0010beff hit0_48909 00
0x0010bff0 hit0_49150 00
0x0010bff1 hit0_49151 00
0x0010bff2 hit0_49152 00
0x0010bff3 hit0_49153 00
0x0010bff4 hit0_49154 00
0x0010bff5 hit0_49155 00
0x0010bff6 hit0_49156 00
0x0010bff7 hit0_49157 00
0x0010bff8 hit0_49158 00
0x0010bff9 hit0_49159 00
0x0010bffa hit0_49160 00
0x0010bffb hit0_49161 00
0x0010bffc hit0_49162 00
0x0010bffd hit0_49163 00
0x0010bffe hit0_49164 00
0x0010bfff hit0_49165 00
0x0010c0ff hit0_49421 00
0x0010c1ff hit0_49677 00
0x0010c2ff hit0_49933 00
0x0010c3ff hit0_50189 00
0x0010c4ff hit0_50445 00
0x0010c5ff hit0_50701 00
0x0010c6ff hit0_50957 00
0x0010c7ff hit0_51213 00
0x0010c8ff hit0_51469 00
0x0010c9ff hit0_51725 00
0x0010caff hit0_51981 00
0x0010cbff hit0_52237 00
0x0010ccff hit0_52493 00
0x0010cdff hit0_52749 00
0x0010ceff hit0_53005 00
0x0010cff0 hit0_53246 00
0x0010cff1 hit0_53247 00
0x0010cff2 hit0_53248 00
0x0010cff3 hit0_53249 00
0x0010cff4 hit0_53250 00
0x0010cff5 hit0_53251 00
0x0010cff6 hit0_53252 00
0x0010cff7 hit0_53253 00
0x0010cff8 hit0_53254 00
0x0010cff9 hit0_53255 00
0x0010cffa hit0_53256 00
0x0010cffb hit0_53257 00
0x0010cffc hit0_53258 00
0x0010cffd hit0_53259 00
0x0010cffe hit0_53260 00
0x0010cfff hit0_53261 00
0x0010d0ff hit0_53517 00
0x0010d1ff hit0_53773 00
0x0010d2ff hit0_54029 00
0x0010d3ff hit0_54285 00
0x0010d4ff hit0_54541 00
0x0010d5ff hit0_54797 00
0x0010d6ff hit0_55053 00
0x0010d7ff hit0_55309 00
0x0010d8ff hit0_55565 00
0x0010d9ff hit0_55821 00
0x0010daff hit0_56077 00
0x0010dbff hit0_56333 00
0x0010dcff hit0_56589 00
0x0010ddff hit0_56845 00
0x0010deff hit0_57101 00
0x0010dff0 hit0_57342 00
0x0010dff1 hit0_57343 00
0x0010dff2 hit0_57344 00
0x0010dff3 hit0_57345 00
0x0010dff4 hit0_57346 00
0x0010dff5 hit0_57347 00
0x0010dff6 hit0_57348 00
0x0010dff7 hit0_57349 00
0x0010dff8 hit0_57350 00
0x0010dff9 hit0_57351 00
0x0010dffa hit0_57352 00
0x0010dffb hit0_57353 00
0x0010dffc hit0_57354 00
0x0010dffd hit0_57355 00
0x0010dffe hit0_57356 00
0x0010dfff hit0_57357 00
0x0010e0ff hit0_57613 00
0x0010e1ff hit0_57869 00
0x0010e2ff hit0_58125 00
0x0010e3ff hit0_58381 00
0x0010e4ff hit0_58637 00
0x0010e5ff hit0_58893 00
0x0010e6ff hit0_59149 00
0x0010e7ff hit0_59405 00
0x0010e8ff hit0_59661 00
0x0010e9ff hit0_59917 00
0x0010eaff hit0_60173 00
0x0010ebff hit0_60429 00
0x0010ecff hit0_60685 00
0x0010edff hit0_60941 00
0x0010eeff hit0_61197 00
0x0010eff0 hit0_61438 00
0x0010eff1 hit0_61439 00
0x0010eff2 hit0_61440 00
0x0010eff3 hit0_61441 00
0x0010eff4 hit0_61442 00
0x0010eff5 hit0_61443 00
0x0010eff6 hit0_61444 00
0x0010eff7 hit0_61445 00
0x0010eff8 hit0_61446 00
0x0010eff9 hit0_61447 00
0x0010effa hit0_61448 00
0x0010effb hit0_61449 00
0x0010effc hit0_61450 00
0x0010effd hit0_61451 00
0x0010effe hit0_61452 00
0x0010efff hit0_61453 00
0x0010f0ff hit0_61709 00
0x0010f1ff hit0_61965 00
0x0010f2ff hit0_62221 00
0x0010f3ff hit0_62477 00
0x0010f4ff hit0_62733 00
0x0010f5ff hit0_62989 00
0x0010f6ff hit0_63245 00
0x0010f7ff hit0_63501 00
0x0010f8ff hit0_63757 00
0x0010f9ff hit0_64013 00
0x0010faff hit0_64269 00
0x0010fbff hit0_64525 00
0x0010fcff hit0_64781 00
0x0010fdff hit0_65037 00
0x0010feff hit0_65293 00
0x0010ff00 hit0_65294 00
0x0010ff01 hit0_65295 00
0x0010ff02 hit0_65296 00
0x0010ff03 hit0_65297 00
0x0010ff04 hit0_65298 00
0x0010ff05 hit0_65299 00
0x0010ff06 hit0_65300 00
0x0010ff07 hit0_65301 00
0x0010ff08 hit0_65302 00
0x0010ff09 hit0_65303 00
0x0010ff0a hit0_65304 00
0x0010ff0b hit0_65305 00
0x0010ff0c hit0_65306 00
0x0010ff0d hit0_65307 00
0x0010ff0e hit0_65308 00
0x0010ff0f hit0_65309 00
0x0010ff10 hit0_65310 00
0x0010ff11 hit0_65311 00
0x0010ff12 hit0_65312 00
0x0010ff13 hit0_65313 00
0x0010ff14 hit0_65314 00
0x0010ff15 hit0_65315 00
0x0010ff16 hit0_65316 00
0x0010ff17 hit0_65317 00
0x0010ff18 hit0_65318 00
0x0010ff19 hit0_65319 00
0x0010ff1a hit0_65320 00
0x0010ff1b hit0_65321 00
0x0010ff1c hit0_65322 00
0x0010ff1d hit0_65323 00
0x0010ff1e hit0_65324 00
0x0010ff1f hit0_65325 00
0x0010ff20 hit0_65326 00
0x0010ff21 hit0_65327 00
0x0010ff22 hit0_65328 00
0x0010ff23 hit0_65329 00
0x0010ff24 hit0_65330 00
0x0010ff25 hit0_65331 00
0x0010ff26 hit0_65332 00
0x0010ff27 hit0_65333 00
0x0010ff28 hit0_65334 00
0x0010ff29 hit0_65335 00
0x0010ff2a hit0_65336 00
0x0010ff2b hit0_65337 00
0x0010ff2c hit0_65338 00
0x0010ff2d hit0_65339 00
0x0010ff2e hit0_65340 00
0x0010ff2f hit0_65341 00
0x0010ff30 hit0_65342 00
0x0010ff31 hit0_65343 00
0x0010ff32 hit0_65344 00
0x0010ff33 hit0_65345 00
0x0010ff34 hit0_65346 00
0x0010ff35 hit0_65347 00
0x0010ff36 hit0_65348 00
0x0010ff37 hit0_65349 00
0x0010ff38 hit0_65350 00
0x0010ff39 hit0_65351 00
0x0010ff3a hit0_65352 00
0x0010ff3b hit0_65353 00
0x0010ff3c hit0_65354 00
0x0010ff3d hit0_65355 00
0x0010ff3e hit0_65356 00
0x0010ff3f hit0_65357 00
0x0010ff40 hit0_65358 00
0x0010ff41 hit0_65359 00
0x0010ff42 hit0_65360 00
0x0010ff43 hit0_65361 00
0x0010ff44 hit0_65362 00
0x0010ff45 hit0_65363 00
0x0010ff46 hit0_65364 00
0x0010ff47 hit0_65365 00
0x0010ff48 hit0_65366 00
0x0010ff49 hit0_65367 00
0x0010ff4a hit0_65368 00
0x0010ff4b hit0_65369 00
0x0010ff4c hit0_65370 00
0x0010ff4d hit0_65371 00
0x0010ff4e hit0_65372 00
0x0010ff4f hit0_65373 00
0x0010ff50 hit0_65374 00
0x0010ff51 hit0_65375 00
0x0010ff52 hit0_65376 00
0x0010ff53 hit0_65377 00
0x0010ff54 hit0_65378 00
0x0010ff55 hit0_65379 00
0x0010ff56 hit0_65380 00
0x0010ff57 hit0_65381 00
0x0010ff58 hit0_65382 00
0x0010ff59 hit0_65383 00
0x0010ff5a hit0_65384 00
0x0010ff5b hit0_65385 00
0x0010ff5c hit0_65386 00
0x0010ff5d hit0_65387 00
0x0010ff5e hit0_65388 00
0x0010ff5f hit0_65389 00
0x0010ff60 hit0_65390 00
0x0010ff61 hit0_65391 00
0x0010ff62 hit0_65392 00
0x0010ff63 hit0_65393 00
0x0010ff64 hit0_65394 00
0x0010ff65 hit0_65395 00
0x0010ff66 hit0_65396 00
0x0010ff67 hit0_65397 00
0x0010ff68 hit0_65398 00
0x0010ff69 hit0_65399 00
0x0010ff6a hit0_65400 00
0x0010ff6b hit0_65401 00
0x0010ff6c hit0_65402 00
0x0010ff6d hit0_65403 00
0x0010ff6e hit0_65404 00
0x0010ff6f hit0_65405 00
0x0010ff70 hit0_65406 00
0x0010ff71 hit0_65407 00
0x0010ff72 hit0_65408 00
0x0010ff73 hit0_65409 00
0x0010ff74 hit0_65410 00
0x0010ff75 hit0_65411 00
0x0010ff76 hit0_65412 00
0x0010ff77 hit0_65413 00
0x0010ff78 hit0_65414 00
0x0010ff79 hit0_65415 00
0x0010ff7a hit0_65416 00
0x0010ff7b hit0_65417 00
0x0010ff7c hit0_65418 00
0x0010ff7d hit0_65419 00
0x0010ff7e hit0_65420 00
0x0010ff7f hit0_65421 00
0x0010ff80 hit0_65422 00
0x0010ff81 hit0_65423 00
0x0010ff82 hit0_65424 00
0x0010ff83 hit0_65425 00
0x0010ff84 hit0_65426 00
0x0010ff85 hit0_65427 00
0x0010ff86 hit0_65428 00
0x0010ff87 hit0_65429 00
0x0010ff88 hit0_65430 00
0x0010ff89 hit0_65431 00
0x0010ff8a hit0_65432 00
0x0010ff8b hit0_65433 00
0x0010ff8c hit0_65434 00
0x0010ff8d hit0_65435 00
0x0010ff8e hit0_65436 00
0x0010ff8f hit0_65437 00
0x0010ff90 hit0_65438 00
0x0010ff91 hit0_65439 00
0x0010ff92 hit0_65440 00
0x0010ff93 hit0_65441 00
0x0010ff94 hit0_65442 00
0x0010ff95 hit0_65443 00
0x0010ff96 hit0_65444 00
0x0010ff97 hit0_65445 00
0x0010ff98 hit0_65446 00
0x0010ff99 hit0_65447 00
0x0010ff9a hit0_65448 00
0x0010ff9b hit0_65449 00
0x0010ff9c hit0_65450 00
0x0010ff9d hit0_65451 00
0x0010ff9e hit0_65452 00
0x0010ff9f hit0_65453 00
0x0010ffa0 hit0_65454 00
0x0010ffa1 hit0_65455 00
0x0010ffa2 hit0_65456 00
0x0010ffa3 hit0_65457 00
0x0010ffa4 hit0_65458 00
0x0010ffa5 hit0_65459 00
0x0010ffa6 hit0_65460 00
0x0010ffa7 hit0_65461 00
0x0010ffa8 hit0_65462 00
0x0010ffa9 hit0_65463 00
0x0010ffaa hit0_65464 00
0x0010ffab hit0_65465 00
0x0010ffac hit0_65466 00
0x0010ffad hit0_65467 00
0x0010ffae hit0_65468 00
0x0010ffaf hit0_65469 00
0x0010ffb0 hit0_65470 00
0x0010ffb1 hit0_65471 00
0x0010ffb2 hit0_65472 00
0x0010ffb3 hit0_65473 00
0x0010ffb4 hit0_65474 00
0x0010ffb5 hit0_65475 00
0x0010ffb6 hit0_65476 00
0x0010ffb7 hit0_65477 00
0x0010ffb8 hit0_65478 00
0x0010ffb9 hit0_65479 00
0x0010ffba hit0_65480 00
0x0010ffbb hit0_65481 00
0x0010ffbc hit0_65482 00
0x0010ffbd hit0_65483 00
0x0010ffbe hit0_65484 00
0x0010ffbf hit0_65485 00
0x0010ffc0 hit0_65486 00
0x0010ffc1 hit0_65487 00
0x0010ffc2 hit0_65488 00
0x0010ffc3 hit0_65489 00
0x0010ffc4 hit0_65490 00
0x0010ffc5 hit0_65491 00
0x0010ffc6 hit0_65492 00
0x0010ffc7 hit0_65493 00
0x0010ffc8 hit0_65494 00
0x0010ffc9 hit0_65495 00
0x0010ffca hit0_65496 00
0x0010ffcb hit0_65497 00
0x0010ffcc hit0_65498 00
0x0010ffcd hit0_65499 00
0x0010ffce hit0_65500 00
0x0010ffcf hit0_65501 00
0x0010ffd0 hit0_65502 00
0x0010ffd1 hit0_65503 00
0x0010ffd2 hit0_65504 00
0x0010ffd3 hit0_65505 00
0x0010ffd4 hit0_65506 00
0x0010ffd5 hit0_65507 00
0x0010ffd6 hit0_65508 00
0x0010ffd7 hit0_65509 00
0x0010ffd8 hit0_65510 00
